,number,address,Lat,Lon,METRIC,jan,feb,mar,apr,maj,jun,jul,aug,sep,okt,nov,dec
101,10197-003:,"Alsbäck 143, Borlänge, Dalarna, Sverige",60.475594,15.4937139,kWh,2571,2624,2083,1545,1544,1373,1560,1547,1462,1912,1953,2482
102,10201-005:,"Klöverstigen 10 A-D, Borlänge, Dalarna, Sverige",60.4934183,15.4023964,kWh,3873,3640,3913,3244,3343,3113,3330,3265,3083,3396,3772,4331
103,10201-006:,"Klöverstigen 12 A-D, Borlänge, Dalarna, Sverige",60.4934834,15.4031598,kWh,3406,3103,3150,2524,2148,2006,2020,2063,2177,2515,2784,3167
104,10201-008:,"Klöverstigen 14 A-D, Borlänge, Dalarna, Sverige",60.4937371,15.4039388,kWh,6510,5922,6179,4069,3611,3229,3144,3375,3522,3971,4073,4320
105,10201-009:,"Klöverstigen 16 -20, Borlänge, Dalarna, Sverige",60.4927109,15.4026682,kWh,20090,17610,18054,16915,16653,17047,18103,18025,17003,18040,17216,18006
106,10201-012:,"Klöverstigen 18 A-D, Borlänge, Dalarna, Sverige",60.4937032,15.4054796,kWh,1940,1777,1909,1654,1493,1439,1394,1507,1570,1714,1522,1638
107,10201-002:,"Klöverstigen 2 A-D, Borlänge, Dalarna, Sverige",60.4945655,15.4018727,kWh,1130,1011,1119,1119,1189,1144,1149,1183,1130,1168,1121,1164
108,10201-013:,"Klöverstigen 22 A-D, Borlänge, Dalarna, Sverige",60.4936334,15.4055846,kWh,1682,1532,1645,1503,1464,1415,1447,1530,1526,1602,1602,1703
109,10201-014:,"Klöverstigen 24 A-D, Borlänge, Dalarna, Sverige",60.4930297,15.4060686,kWh,3923,3363,3433,3154,2573,2442,1966,2479,2968,3349,3346,3549
110,10201-015:,"Klöverstigen 26 A-D, Borlänge, Dalarna, Sverige",60.4920075,15.4048152,kWh,1089,3587,1007,993,960,920,940,876,1067,1172,1104,1146
111,10201-016:,"Klöverstigen 28 A-D, Borlänge, Dalarna, Sverige",60.4926763,15.4063533,kWh,1774,1647,1825,1733,1725,1580,1578,1565,1552,1626,1551,1597
112,10201-017:,"Klöverstigen 30 A-D, Borlänge, Dalarna, Sverige",60.4918031,15.4054909,kWh,2328,2162,2280,2057,1651,1566,1415,1637,1882,2217,2222,2321
113,10201-001:,"Klöverstigen 4 A-D, Borlänge, Dalarna, Sverige",60.4948316,15.4016479,kWh,1263,1124,1276,1248,1326,1253,1316,1288,1246,1269,1226,1222
114,10201-003:,"Klöverstigen 6 A-D, Borlänge, Dalarna, Sverige",60.4940262,15.4016065,kWh,1353,1208,1324,1289,1348,1304,1376,1391,1371,1399,1357,1380
115,10201-004:,"Klöverstigen 8 A-D, Borlänge, Dalarna, Sverige",60.4934412,15.4010862,kWh,4178,3569,3320,3357,3317,3183,2536,3571,3816,3611,3669,3872
116,10201-031:,"Kornstigen 1 A-D, Borlänge, Dalarna, Sverige",60.4923997,15.3979883,kWh,1184,1102,1259,1253,1266,1197,1202,1216,1198,1218,1168,1192
117,10201-027:,"Kornstigen 11 A-E, Borlänge, Dalarna, Sverige",60.4913712,15.3992865,kWh,1432,1273,1299,1317,1384,1331,1356,1349,1181,1233,1347,1364
118,10201-026:,"Kornstigen 13 A-D, Borlänge, Dalarna, Sverige",60.4919822,15.4007673,kWh,1470,1370,1566,1469,1472,1407,1395,1446,1443,1512,1465,1551
119,10201-033:,"Kornstigen 15 A-C, Borlänge, Dalarna, Sverige",60.4923039,15.4015016,kWh,28810,25882,26931,22252,18688,12386,10938,12945,20072,26140,27873,25268
120,10201-023:,"Kornstigen 17 A-D, Borlänge, Dalarna, Sverige",60.4916905,15.4014938,kWh,1449,1314,1456,1338,1300,1226,1188,1273,1345,1416,1385,1446
121,10201-022:,"Kornstigen 21 A-D, Borlänge, Dalarna, Sverige",60.4910331,15.4007571,kWh,1640,1478,1608,1460,1453,1381,1396,1418,1422,1515,1502,1619
122,10201-021:,"Kornstigen 23 A-E, Borlänge, Dalarna, Sverige",60.4917046,15.4025266,kWh,5196,4732,4697,4394,3515,3367,2820,3196,3902,4464,4755,4844
123,10201-020:,"Kornstigen 25 A-E, Borlänge, Dalarna, Sverige",60.4905113,15.401601,kWh,11431,10210,10349,9794,8385,4773,7064,7455,8325,10211,9759,10393
124,10201-019:,"Kornstigen 27 A-D, Borlänge, Dalarna, Sverige",60.4910285,15.4033101,kWh,2031,1864,2024,1711,1598,1457,1404,1501,1582,1820,1950,2110
125,10201-018:,"Kornstigen 29 A-D, Borlänge, Dalarna, Sverige",60.4905113,15.401601,kWh,1727,1586,1756,1613,1603,1542,1521,1525,1518,1545,1515,1609
126,10201-032:,"Kornstigen 3 A-E, Borlänge, Dalarna, Sverige",60.4931681,15.3992172,kWh,1478,1384,1685,1551,1595,1504,1576,1547,1558,1599,1558,1584
127,10201-030:,"Kornstigen 5 A-D, Borlänge, Dalarna, Sverige",60.4922932,15.3983899,kWh,1210,1140,1289,1265,1341,1285,1286,1305,1271,1294,1254,1278
128,10201-029:,"Kornstigen 7 A-E, Borlänge, Dalarna, Sverige",60.4924828,15.3993266,kWh,3954,3645,3773,3413,2826,2627,2557,2580,2872,3293,3260,3366
129,10201-028:,"Kornstigen 9 A-E, Borlänge, Dalarna, Sverige",60.4916543,15.3985245,kWh,4165,3499,3621,3276,2841,2505,2458,2697,3127,3374,3395,3874
130,201,"Tvättstuga 1 Klöverstigen, Borlänge, Dalarna, Sverige",60.494822,15.4017069,kWh,6953,6530,7120,6626,5923,6209,5352,6248,7463,7209,6867,6919
131,201,"Tvättstuga 2 Kornstigen 7-9, Borlänge, Dalarna, Sverige",60.4928054,15.3967752,kWh,5047,4363,4730,5215,4719,4642,4450,4467,5082,4868,4861,5526
132,201,"Tvättstuga 3 Kornstigen 21-23, Borlänge, Dalarna, Sverige",60.4931681,15.3992172,kWh,7756,6767,7265,7114,6913,6276,6533,6866,7392,7554,7626,7892
133,10204-101:,"Jan Ers gata 1, Borlänge, Dalarna, Sverige",60.4945316,15.3995808,kWh,9807,8630,9278,8798,7972,8013,8048,9385,9757,10312,10354,10720
137,10211-007:,"Stjärngatan 13, Borlänge, Dalarna, Sverige",60.4854384,15.3965917,kWh,460,390,468,443,398,405,423,413,445,546,520,544
138,10211-009:,"Stjärngatan 17 A-K, Borlänge, Dalarna, Sverige",60.4858551,15.3977515,kWh,1297,783,1169,1195,1225,1159,1233,1285,1401,1433,1419,1484
139,10211-014:,"Stjärngatan 2 A-E, Borlänge, Dalarna, Sverige",60.4864101,15.397877,kWh,964,793,772,641,553,469,501,630,730,866,928,1009
140,10213-011:,"Kometgatan 10 A-E, Borlänge, Dalarna, Sverige",60.4855855,15.3990677,kWh,1046,1075,1030,516,285,234,261,325,392,542,759,1034
141,10213-012:,"Kometgatan 8 A-E, Borlänge, Dalarna, Sverige",60.4857171,15.3993585,kWh,618,487,503,419,372,247,262,307,361,442,466,450
143,10215-010:,"Meteorgatan 10 A-E, Borlänge, Dalarna, Sverige",60.4848604,15.4007983,kWh,402,342,325,267,233,246,236,345,420,565,694,904
145,10216-003:,"Mångatan 2, Borlänge, Dalarna, Sverige",60.4846954,15.4036,kWh,7049,6848,6904,6474,5460,4045,3740,4144,5818,6589,6480,5900
146,10216-002:,"Mångatan 4, Borlänge, Dalarna, Sverige",60.4844716,15.4031344,kWh,9318,9165,9810,7456,5973,4579,4166,4938,6468,7683,7977,7805
147,10216-001:,"Mångatan 6, Borlänge, Dalarna, Sverige",60.4842649,15.4027204,kWh,13967,12682,11346,9814,8425,6786,6624,6694,9017,11983,12909,11620
148,10217-001:,"Mångatan 1, Borlänge, Dalarna, Sverige",60.4832234,15.4016773,kWh,2305,2189,2249,1649,1468,1206,1224,1116,1230,1440,1653,2217
149,10217-002:,"Mångatan 3, Borlänge, Dalarna, Sverige",60.4829916,15.4011104,kWh,3883,3554,3879,3747,3752,3469,3599,3644,3528,3545,3598,3706
150,10217-003:,"Mångatan 5, Borlänge, Dalarna, Sverige",60.4827509,15.4005434,kWh,1335,1178,1300,1229,1285,1219,1265,1270,1198,1330,1335,1316
151,10221: 221,"Norrskenet 1, Borlänge, Dalarna, Sverige",60.484304,15.433969,kWh,165,186,168,174,255,332,290,284,270,285,326,388
152,10222: 222,"Planeten 2, Borlänge, Dalarna, Sverige",60.484304,15.433969,kWh,3678,3338,3608,3296,3474,3093,2901,3307,3386,3586,3136,2957
153,10224: 224,"Regnbågen 1, Borlänge, Dalarna, Sverige",60.484304,15.433969,kWh,295,272,296,272,274,260,291,277,281,302,308,318
155,10226-001:,"Jaxtorget 9, Borlänge, Dalarna, Sverige",60.483555,15.4037764,kWh,1116,1084,859,776,727,691,682,611,692,755,838,883
158,10231-013:,"Stånggatan 41 A-H, Borlänge, Dalarna, Sverige",60.476947,15.397551,kWh,1303,1171,1318,1312,1215,1191,1095,1194,1268,1333,1280,1308
170,10243-001:,"Pilt Jans väg 41, Borlänge, Dalarna, Sverige",60.4701568,15.3798697,kWh,4234,3522,3746,3137,2856,2661,2292,2906,3170,3752,3915,3619
171,10301-003:,"Norr Amsberg 402 fd lärarbostad, Borlänge, Dalarna, Sverige",60.5289449,15.3557853,kWh,3323,3374,3246,2768,2583,2143,1730,2083,2371,2586,2846,2861
172,301,"Norr Amsberg Garage, Borlänge, Dalarna, Sverige",60.5300007,15.351445,kWh,3918,5126,2812,1364,784,616,1017,2853,1434,1510,1721,2968
173,10302-007:,"Bysjön 11 A-D, Borlänge, Dalarna, Sverige",60.5231949,15.3960646,kWh,897,927,894,565,290,260,251,265,373,345,428,537
174,10302-010:,"Bysjön 17, Borlänge, Dalarna, Sverige",60.5238824,15.3974832,kWh,226,283,270,48,14,3,38,3,8,37,91,183
175,10302-012:,"Bysjön 21 A-B, Borlänge, Dalarna, Sverige",60.5242156,15.3974592,kWh,417,401,400,225,131,109,113,117,139,204,261,326
176,10302-003:,"Bysjön 3 A-D, Borlänge, Dalarna, Sverige",60.5221108,15.3961748,kWh,580,627,611,415,260,283,230,265,251,445,524,628
177,10302-014:,"Bysjön 6 A-C, Borlänge, Dalarna, Sverige",60.5221831,15.3968622,kWh,1745,1645,1529,1011,657,547,554,690,892,1171,1670,2125
180,10303-002:,"Lugna gatan 4 A-C, Borlänge, Dalarna, Sverige",60.5172379,15.4024097,kWh,484,436,450,467,391,323,339,378,501,488,457,520
181,10303-001:,"Lugna gatan 6 A-C, Borlänge, Dalarna, Sverige",60.5168181,15.402591,kWh,1480,1408,1105,700,762,762,599,657,695,827,892,1038
182,306,"Predikantgatan 18, Borlänge, Dalarna, Sverige",60.511002,15.4092651,kWh,390,337,388,390,402,396,437,482,465,478,451,444
183,10308: 308,"Kungsljuset, Borlänge, Dalarna, Sverige",60.5166302,15.4047303,kWh,2064,2030,1780,1402,1560,1588,1593,1609,1466,1314,1810,2305
