,number,address,Lat,Lon,METRIC,jan,feb,mar,apr,maj,jun,jul,aug,sep,okt,nov,dec
226,10326-002:,"Bondegatan 5 A-B, Borlänge, Dalarna, Sverige",60.4962316,15.4188923,kWh,607,545,596,581,420,352,271,397,448,562,704,575
227,10326-001:,"Bondegatan 7 A-C, Borlänge, Dalarna, Sverige",60.4956682,15.4179857,kWh,270,151,146,193,134,137,162,199,256,156,347,150
228,10326-007:,"Vallgatan 4 A-C, Borlänge, Dalarna, Sverige",60.49538,15.419987,kWh,1173,1008,993,943,932,877,928,892,940,1110,1114,1211
229,10327-002:,"Allfarvägen 45-51, Borlänge, Dalarna, Sverige",60.4948512,15.4228026,kWh,2862,5507,5342,1453,1068,673,667,628,781,1676,1802,1680
230,10327-003:,"Skördegatan 10-18, Borlänge, Dalarna, Sverige",60.4947114,15.4213403,kWh,2485,4746,4278,3564,2680,2381,2069,2129,2168,2526,2412,2405
231,10327-001:,"Vallgatan 1-3, Allfarv 53-55, Borlänge, Dalarna, Sverige",60.495401,15.42173,kWh,2604,2405,2286,2098,1881,1586,1693,1860,1915,2254,2268,2499
232,10327-004:,"Vallgatan 5-7, Borlänge, Dalarna, Sverige",60.4952282,15.4207087,kWh,40,354,558,65,99,82,90,95,61,54,71,69
233,327,"Vallgatan 9-11, Borlänge, Dalarna, Sverige",60.4949618,15.4203423,kWh,450,404,427,366,262,229,191,282,492,461,489,520
234,10328-001:,"Allfarvägen 37-43, Borlänge, Dalarna, Sverige",60.4943455,15.4232548,kWh,1338,764,789,705,561,536,499,605,830,825,1296,1146
235,10328-002:,"Skördegatan 2-8, Borlänge, Dalarna, Sverige",60.4938261,15.421133,kWh,2383,2072,2014,1524,1305,868,728,691,1196,1736,1669,2099
236,10329-001:,"Skördegatan 11-15, Borlänge, Dalarna, Sverige",60.4937159,15.4206318,kWh,1627,1509,1634,1497,1141,1098,1012,1030,1164,1280,1459,1693
237,10329-002:,"Skördegatan 17-19, Borlänge, Dalarna, Sverige",60.4940543,15.419785,kWh,220,182,201,191,186,183,193,194,190,201,206,210
238,10330-001:,"Skördegatan 21-25, Borlänge, Dalarna, Sverige",60.494302,15.4200316,kWh,2261,3288,3183,1430,522,482,412,474,852,1496,1521,2116
239,10330-002:,"Vallgatan 13-17, Borlänge, Dalarna, Sverige",60.4949056,15.4195137,kWh,2673,2377,2683,2765,2470,2148,2204,2715,3151,3418,4149,3373
240,10331-001:,"Vallgatan 19, Borlänge, Dalarna, Sverige",60.4943765,15.4181889,kWh,800,675,738,727,558,513,466,546,623,772,742,776
241,10331-002:,"Vallgatan 21, Borlänge, Dalarna, Sverige",60.4942088,15.4174602,kWh,1520,1377,1212,914,689,589,591,693,788,1246,1338,1601
242,10332-001:,"Hagavägen 74, Borlänge, Dalarna, Sverige",60.4940254,15.4166543,kWh,2686,2759,3031,2410,1922,631,444,1022,1882,2029,2151,2712
243,10342-001:,"Tägtvägen 21-23, Borlänge, Dalarna, Sverige",60.4909597,15.4177076,kWh,792,647,765,764,723,558,557,763,682,661,722,679
244,10344-001:,"Parkgatan 13, Borlänge, Dalarna, Sverige",60.4892346,15.4259406,kWh,868,779,720,476,510,476,531,541,576,701,790,932
245,10344-003:,"Parkgatan 15, Borlänge, Dalarna, Sverige",60.4895478,15.4252576,kWh,109,99,112,92,73,53,57,61,68,107,111,114
246,10344-002:,"Tångringsgatan 28 A-B, Borlänge, Dalarna, Sverige",60.4894367,15.4249539,kWh,655,560,547,569,416,400,455,381,485,555,590,556
247,10345-002:,"Parkgatan 12 A-B, Borlänge, Dalarna, Sverige",60.4887563,15.4278668,kWh,3871,3645,4443,4329,3897,3510,3570,3654,3410,3660,3563,3714
248,10345-001:,"Parkgatan 8 A-B, Borlänge, Dalarna, Sverige",60.4897707,15.4270901,kWh,5344,5396,5867,5258,4660,3900,4032,4056,3998,4407,4817,5944
250,10346-002:,"Sturegatan 21, Borlänge, Dalarna, Sverige",60.4869884,15.4253197,kWh,25037,23172,25820,23987,23711,23018,22796,22854,22280,23434,23640,24965
251,10351-001:,"Thenstedtsgatan 9, Borlänge, Dalarna, Sverige",60.4873719,15.4164379,kWh,8233,7955,8148,6717,5811,5622,5386,5505,5811,6766,7777,8783
252,10352-001:,"Thenstedtsgatan 5, Borlänge, Dalarna, Sverige",60.4870163,15.4169931,kWh,9216,8336,8897,8242,8326,8373,9628,8922,8050,8507,8603,8589
253,10353-001:,"Thenstedtsgatan 3, Borlänge, Dalarna, Sverige",60.4867305,15.4176451,kWh,7911,7422,7514,6368,5484,4924,5187,5179,6551,6943,6952,7278
254,,"Tvättstuga, Gös Eriks väg, Borlänge, Dalarna, Sverige",60.4651938,15.3684469,kWh,6136,5255,5422,4774,3119,2762,2347,3476,4846,5608,5948,6509
255,,"Tvättstuga, Stånggatan, Borlänge, Dalarna, Sverige",60.4767877,15.3952072,kWh,8987,8244,8474,5873,4462,3620,3625,4305,4865,6139,6894,9043
256,10145-002:,"Täppgatan 34, Borlänge, Dalarna, Sverige",60.4776593,15.460344,kWh,4398,5438,4644,3360,2665,2063,1109,1023,999,1071,1112,1243
